Id,IsEquipment,IsOverlaped,Parts,ItemSet,WeaponType,SubWeaponType,Tier,Name_kr,Strength,Agility,Intelligence,Critical,Hp,Attack,Defence,Price,Text
140001,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,점액 조각,0,0,0,0,0,0,0,0,점액으로 뭉쳐진 방울. 끈적거리는 재료다.
140002,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,미끈미끈한 껍질,0,0,0,0,0,0,0,0,투명한 젤처럼 늘어나는 막. 미끄러운 성질의 재료다.
140103,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,응축된 슬라임 코어,0,0,0,0,0,0,0,0,강하게 응축된 점액 코어. 드물고 강력한 희귀 재료다.
140004,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,지저분한 털뭉치,0,0,0,0,0,0,0,0,지저분한 기름기가 도는 털뭉치. 냄새가 고약한 재료다.
140005,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,쥐 꼬리 뼈,0,0,0,0,0,0,0,0,잘 마른 쥐 꼬리 뼈. 약재나 뼈 부적에 쓰인다.
140106,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,역병의 췌장,0,0,0,0,0,0,0,0,병든 기운을 품은 장기. 강한 독성을 가진 희귀 재료다.
140007,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,고블린 이빨,0,0,0,0,0,0,0,0,작고 날카로운 고블린의 이빨. 공격적인 기운이 있다.
140008,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,해진 천 조각,0,0,0,0,0,0,0,0,누더기처럼 해어진 천 조각. 간이 재봉에 사용된다.
140109,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,고블린 부두 인형,0,0,0,0,0,0,0,0,주술의식에 쓰인 부두 인형. 불길한 기운이 도는 희귀 재료다.
140010,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,낡은 활줄,0,0,0,0,0,0,0,0,낡고 늘어진 활줄. 고정력이 약한 재활용 부품이다.
140011,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,손질 안 된 화살촉,0,0,0,0,0,0,0,0,연마되지 않은 금속 촉. 무두질 전의 날 재료다.
140112,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,정밀 조준 부품,0,0,0,0,0,0,0,0,정밀하게 조정된 부품. 고급 제작에 쓰이는 희귀 재료다.
140013,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,오크 손톱,0,0,0,0,0,0,0,0,단단하고 날카로운 오크 손톱. 공격성을 상징하는 재료다.
140014,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,오크 가죽 조각,0,0,0,0,0,0,0,0,질긴 오크 가죽 조각. 튼튼한 방어구 재료로 쓰인다.
140115,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,전투 오크의 뿔장식,0,0,0,0,0,0,0,0,전장의 오크가 달던 뿔 장식. 투지의 상징인 희귀 재료다.
140016,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,트롤 가죽,0,0,0,0,0,0,0,0,두껍고 질긴 트롤 가죽. 내구성이 뛰어난 재료다.
140017,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,역한 트롤 피,0,0,0,0,0,0,0,0,썩은 냄새가 나는 피. 역한 성질을 지닌 특수 재료다.
